Polda,Jumlah_Kriminalitas,Risiko_Kejahatan
Sumatera Utara,36534,250
Metro Jaya,29103,277
Jawa Timur,19257,48
Sulawesi Selatan,14636,166
Sumatera Selatan,13037,153
Lampung,9764,115
Jawa Tengah,8909,26
Riau,7512,110
Jawa Barat,7502,15
Aceh,6651,125
Nusa Tenggara Barat,6296,122
Papua,6236,186
Sulawesi Utara,6215,249
Sumatera Barat,5666,103
Sulawesi Tengah,5139,169
Kalimantan Selatan,4973,118
Nusa Tenggara Timur,4909,90
DI Yogyakarta,4774,123
Kalimantan Timur,4564,126
Kalimantan Barat,4048,80
Jambi,3701,104
Bengkulu,3493,177
Banten,3434,27
Maluku,3139,177
Papua Barat,2784,289
Kepulauan Riau,2481,111
Gorontalo,2445,208
Sulawesi Tenggara,2431,91
Bali,2404,55
Kalimantan Tengah,2399,91
Kep. Bangka Belitung,1566,108
Sulawesi Barat,1500,110
Maluku Utara,1008,82
Kalimantan Utara,971,140
