Polda,Jumlah_Kriminalitas,Risiko_Kejahatan
Metro Jaya,31934,127
Sumatera Utara,30831,216
Jawa Timur,26985,69
Sulawesi Selatan,16008,190
Jawa Barat,13145,34
Sumatera Selatan,12861,156
Sumatera Barat,11064,208
Jawa Tengah,10317,30
Lampung,8534,103
Nusa Tenggara Barat,8185,165
Aceh,7483,144
Sulawesi Utara,7425,302
Papua,6994,214
Jambi,6848,195
DI Yogyakarta,6650,177
Riau,6570,99
Sulawesi Tengah,6265,211
Nusa Tenggara Timur,5865,111
Kalimantan Selatan,5375,130
Kalimantan Barat,4721,96
Kalimantan Timur,4417,124
Maluku,3495,200
Bengkulu,3453,179
Banten,3287,49
Kepulauan Riau,3159,152
Bali,3047,72
Papua Barat,2972,325
Kalimantan Tengah,2444,94
Gorontalo,2367,203
Kep. Bangka Belitung,1953,136
Sulawesi Barat,1863,148
Sulawesi Tenggara,1213,47
Kalimantan Utara,876,127
Maluku Utara,718,59
